,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
530,House for Sale,"Tikathali, Lalitpur",Rs. 3.15Cr,3.3 aana,,4,,3,2 Bikes,20 Feet 
531,House for Sale,"Mulpani, Kathmandu",Rs. 1.65Cr,3.2 aana,,6,3,2.5,1 Car & 2 Bikes,10 Feet 
532,House for Sale,"Bakhundole, Lalitpur",Rs. 9Cr,10.0 aana,3500 Sq. Ft.,,,2.5,4 Cars & 8 Bikes,13 Feet 
533,Attractive House for Sale,"Golfutar, Kathmandu",Rs. 6.75Cr,8.0 aana,3200 Sq. Ft.,5,4,3.5,4 Cars & 8 Bikes,24 Feet 
534,House for Sale,"Pasikot, Kathmandu",Rs. 14Cr,35.0 aana,,4,3,2,5 Cars & 9 Bikes,13 Feet 
535,3 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.75Cr,3.0 aana,,3,,3,1 Car & 2 Bikes,12 Feet 
536,Triplex House for Sale,"Bramhakhel, Kathmandu",Rs. 2.9Cr,10.0 aana,3219 Sq. Ft.,5,3,2.5,3 Cars & 5 Bikes,20 Feet 
537,Commercial property for sale,"Nakkhu, Lalitpur",Rs. 60Lac/aana,16.0 aana,3080.25 Sq. Ft.,5,3,2.5,3 Cars & 5 Bikes,20 Feet 
538,5 BHK House for Sale,"Sitapaila, Kathmandu",Rs. 3.5Cr,4.0 aana,,5,3,,1 Car & 1 Bike,12 Feet 
539,House for Sale,"Tikathali, Lalitpur",Rs. 3.15Cr,3.0 aana,2598 Sq. Ft.,4,5,2.5,2 Cars & 5 Bikes,20 Feet 
540,3 BHK House for Sale,"Tikathali, Lalitpur",Rs. 2.6Cr,3.0 aana,2097 Sq. Ft.,3,5,2.5,1 Car & 3 Bikes,13 Feet 
541,House for Sale,"Ochu Height, Lalitpur",Rs. 3.2Cr,3.2 aana,2698 Sq. Ft.,5,5,2.5,2 Cars & 4 Bikes,12 Feet 
542,House for Sale,"Sallaghari, Bhaktapur",Rs. 3.75Cr,5.0 aana,,,,3.5,1 Car & 2 Bikes,13 Feet 
543,House for Sale,"Dadhikot, Bhaktapur",Price on call,8.0 aana,-1 Sq. Ft.,4,1,2,,26 Feet 
544,House for Sale,"Koteshwor, Kathmandu",Price on call,3.2 aana,1900 Sq. Ft.,2,1,3.5,1 Car & 2 Bikes,13 Feet 
545,House for Sale,"Satdobato, Lalitpur",Rs. 2.8Cr,4.0 aana,,5,6,2.5,1 Car & 3 Bikes,12 Feet 
546,2 BHK House for Sale,"Imadol, Lalitpur",Rs. 1.29Cr,3.0 aana,632 Sq. Ft.,2,2,1.5,1 Car & 2 Bikes,14 Feet 
547,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 3.9Cr,4.2 aana,,4,5,3,2 Cars & 3 Bikes,15 Feet 
548,House for Sale,"Dholahiti, Lalitpur",Rs. 4.1Cr,4.2 aana,,6,5,2.5,1 Car & 3 Bikes,16 Feet 
549,House for Sale,"Kuleshwor, Kathmandu",Rs. 4.8Cr,6.0 aana,,5,5,3.5,2 Cars & 3 Bikes,8 Meter
550,House for Sale,Jhapa,Rs. 1.2Cr,0.5 kattha,1.672 Sq. Mtr.,3,4,3.5,1 Car & 2 Bikes,3 Meter
551,House for Sale,"Tikathali, Lalitpur",Rs. 3.2Cr,4.1 aana,,,4,2.5,1 Car & 2 Bikes,13 Feet 
552,House for Sale,"Imadol, Lalitpur",Rs. 3.35Cr,3.0 aana,,4,,3,1 Car & 2 Bikes,13 Feet 
553,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 1.99Cr,3.1 aana,,4,,3,3 Bikes,10 Feet 
554,House for Sale,"Dadhikot, Bhaktapur",Price on call,3500 sq. mtr,3500 Sq. Ft.,7,5,3.5,1 Car & 3 Bikes,13 Feet 
555,House for Sale,"Kusunti, Lalitpur",Rs. 4.85Cr,4.0 aana,,3,5,3,4 Cars & 5 Bikes,26 Feet 
556,3 BHK House for Sale,"Kusunti, Ramechhap",Rs. 4.85Cr,5.1.9 aana,,3,3,3.5,2 Cars & 4 Bikes,20 Feet 
557,House for Sale,"Chunikhel, Kathmandu",Rs. 1.35Cr,3.0 aana,,2,1,1,,
558,House for Sale,"Dhapasi, Kathmandu",Rs. 6.5Cr,8.3 aana,,5,5,3.5,1 Car ,20 Feet 
559,House for Sale,"Tikathali, Lalitpur",Rs. 5.25Cr,5.2 aana,,5,5,3,2 Cars & 4 Bikes,20 Feet 
560,House for Sale,"Bhangal , Kathmandu",Price on call,4.2 aana,,,,2.5,1 Car & 2 Bikes,13 Feet 
561,House for Sale,"Tikathali, Lalitpur",Rs. 2.35Cr,3.0 aana,,7,4,2.5,1 Car & 4 Bikes,13 Feet 
562,House for Sale,"Nakhipot, Lalitpur",Rs. 5.9Cr,8.0 aana,,5,3,2.5,3 Cars & 4 Bikes,11 Feet 
563,House for Sale,"Imadol, Lalitpur",Rs. 2.25Cr,3.0 aana,,5,3,2.5,,10 Feet 
564,House for Sale,"Nakhipot, Lalitpur",Rs. 4.1Cr,4.0 aana,,6,2,3,1 Car & 2 Bikes,16 Feet 
565,3 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.7Cr,3.1 aana,,3,,3,1 Car & 2 Bikes,13 Feet 
566,3 BHK House for Sale,"Kirtipur, Kathmandu",Rs. 1.4Cr,3.2 aana,,3,2,2,,12 Feet 
567,House for Sale in land price,"Dhumbarahi, Kathmandu",Rs. 80Lac/aana,9.3 aana,,4,2,2.5,1 Car & 2 Bikes,12 Feet 
568,House for Sale,"Lalitpur, Lalitpur",Rs. 3.5Cr,4.2 aana,,5,4,2.5,1 Car & 2 Bikes,12 Feet 
569,House for Sale,"Sundarbasti, Kathmandu",Price on call,6.0 aana,,,,3,1 Car & 2 Bikes,12 Feet 
570,House for Sale,"Ram Mandir, Kathmandu",Rs. 3.35Cr,4.1 aana,,,,3.5,1 Car & 2 Bikes,13 Feet 
571,House for Sale,"Ramhiti, Kathmandu",Rs. 3.75Cr,4.0 aana,,8,4,3.5,1 Car & 2 Bikes,12 Feet 
572,House for Sale,"Tikathali, Lalitpur",Rs. 2.35Cr,2.9.0 aana,2800 Sq. Ft.,7,4,2.5,2 Cars & 4 Bikes,12 Feet 
573,House for Sale,"Sallaghari, Bhaktapur",Price on call,8.0 aana,2870 Sq. Ft.,1,3,2,1 Car & 8 Bikes,50 Meter
574,Duplex House for Sale,"Kapurdhara, Kathmandu",Rs. 3.3Cr,4.2 aana,3450 Sq. Ft.,5,4,3,3 Bikes,4 Feet 
575,House for Sale,"Basundhara, Kathmandu",Rs. 4Cr,5.0 aana,,6,3,2.5,1 Car ,12 Feet 
576,House for Sale,"Shankhamul, Kathmandu",Rs. 6.8Cr,7.2 aana,3400 Sq. Ft.,7,3,3.5,2 Cars ,26 Feet 
577,House for Sale,"Bhaisepati, Lalitpur",Rs. 3.25Cr,,,5,5,2.5,1 Car ,13 Feet 
578,4 BHK House for Sale,"Shankhamul, Kathmandu",Price on call,,,5,4,2.5,1 Car & 4 Bikes,10 Feet 
579,House for Sale,"Imadol, Lalitpur",Rs. 4Cr,,3484 Sq. Ft.,4,5,3.5,2 Cars & 4 Bikes,16 Feet 
580,House for Sale,"Imadol, Lalitpur",Rs. 2.7Cr,3.0 aana,,5,3,3,1 Car & 4 Bikes,22 Feet 
581,House for Sale,"Imadol, Lalitpur",Rs. 3.45Cr,4.0 aana,2799 Sq. Ft.,6,6,3,1 Car & 3 Bikes,13 Feet 
582,House for Sale,"Imadol, Lalitpur",Rs. 2.75Cr,,,4,,3,1 Car & 3 Bikes,13 Feet 
583,House for Sale,"Tikathali, Lalitpur",Rs. 1.55Cr,,,,,1,1 Bike,13 Feet 
584,House for Sale,"Satdobato, Lalitpur",Rs. 11.5Cr,12.0 aana,,5,5,2.5,2 Cars & 3 Bikes,15 Feet 
585,4 BHK House for Sale,"Sinamangal, Kathmandu",Rs. 6.8Cr,5.1 aana,,4,4,2.5,1 Car & 2 Bikes,12 Feet 
586,House for Sale,"Imadol, Lalitpur",Rs. 3.25Cr,4.2 aana,,6,5,3.5,2 Bikes,13 Feet 
587,House for Sale,"Tikathali, Lalitpur",Rs. 2.7Cr,3.0 aana,,4,3,2.5,2 Bikes,13 Feet 
588,4 BHK House for Sale,"Ochu Height, Lalitpur",Rs. 2.7Cr,3.0 aana,,4,4,2.5,1 Car & 2 Bikes,13 Feet 
589,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.85Cr,3.2 aana,,6,4,2.5,1 Car & 2 Bikes,20 Feet 
590,House for Sale,"Putalisadak, Kathmandu",Rs. 4.75Cr,4.0 aana,,,,3,,20 Feet 
591,House for Sale,"Bhaisepati, Lalitpur",Rs. 7.25Cr,5.3 aana,2148 Sq. Ft.,4,4,2.5,1 Car & 2 Bikes,11 Feet 
592,4 BHK House for Sale,"Dhalmal, Kathmandu",Rs. 2.1Cr,3.0 aana,1754 Sq. Ft.,4,3,2.5,1 Car & 5 Bikes,13 Feet 
593,House for Sale,"Kharibot, Kathmandu",Rs. 4.1Cr,5.2 aana,,,,2.5,1 Car & 2 Bikes,13 Feet 
594,House for Sale,"Bhaisepati, Lalitpur",Rs. 4.39Cr,5.0 aana,,6,5,2.5,,12 Feet 
595,House for Sale,"Dhapasi, Kathmandu",Rs. 1.35Cr,2.2 aana,1500 Sq. Ft.,6,1,1.5,2 Bikes,
596,HOTEL FOR SALE,"Bhairahawa, Rupandehi",Rs. 12.6Cr,,381 Sq. Mtr.,,,3,,
597,House for Sale,"Imadol, Lalitpur",Rs. 5.5Cr,5.0 aana,,,,3.5,1 Car ,23 Feet 
598,House for Sale,"Imadol, Lalitpur",Rs. 2.8Cr,3.0 aana,,,,3.5,,13 Feet 
599,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.8Cr,3.3 aana,,4,,3,1 Car & 2 Bikes,13 Feet 
600,House for Sale,"Imadol, Lalitpur",Rs. 2.95Cr,3.2 aana,,5,5,3,1 Car & 2 Bikes,20 Feet 
601,4 BHK House for Sale,"Bhaisepati, Lalitpur",Price on call,3.2 aana,2375 Sq. Ft.,4,5,2.5,2 Cars & 4 Bikes,20 Feet 
602,Bungalow House for Sale,"Sunakothi, Lalitpur",Rs. 4Cr,4.3 aana,1784 Sq. Ft.,,,2.5,2 Cars & 3 Bikes,13 Feet 
603,House for Sale,"Sitapaila, Kathmandu",Rs. 4.95Cr,8.0 aana,,7,8,2.5,2 Cars & 4 Bikes,13 Feet 
604,House for Sale,"Kirtipur, Kathmandu",Rs. 3.75Cr,3.2 aana,,4,3,2.5,1 Car & 2 Bikes,13 Feet 
605,House for Sale,"Samakhushi chowk, Kathmandu",Price on call,10.2 aana,,,,2.5,1 Car & 2 Bikes,26 Feet 
606,Bungalow House for Sale,"Nakkhu, Lalitpur",Rs. 6.9Cr,12.0 aana,,5,4,2.5,,16 Feet 
607,House for Sale,"Chamati, Kathmandu",Rs. 1.5Cr,1.2 aana,,,,3.5,1 Bike,20 Feet 
608,3 BHK House for Sale,"Golfutar, Kathmandu",Rs. 1.8Cr,2.2 aana,,3,3,2.5,1 Car & 1 Bike,12 Feet 
609,House for Sale,"Mandikhatar, Kathmandu",Rs. 3.95Cr,4.0 aana,,6,4,2.5,1 Car ,14 Feet 
610,House for Sale,"Chunikhel, Kathmandu",Rs. 1.58Cr,3.0 aana,,2,1,1,1 Car & 3 Bikes,12 Feet 
611,Commercial building for Sale,"Gyaneshwor, Kathmandu",Rs. 10.5Cr,4.2 aana,6000 Sq. Ft.,,,,,32 Feet 
612,House for Sale,"Darjeeling Height, Bhaktapur",Rs. 1.1Cr,2.2 aana,,2,1,1.5,5 Bikes,13 Feet 
613,House for Sale,"Bhaisepati, Lalitpur",Rs. 4.25Cr,4.3 aana,2500 Sq. Ft.,6,6,2.5,2 Cars & 5 Bikes,13 Feet 
614,House for Sale,"Makalbari, Kathmandu",Rs. 3.36Cr,8.0 aana,,2,1,1,8 Cars ,13 Feet 
615,Beautiful 5 BHK House in Gothatar,"Gothatar, Kathmandu",Rs. 3Cr,4.0 aana,1369 Sq. Ft.,5,3,2.5,1 Car ,20 Feet 
616,House for Sale in Kalanki,"Kalanki, Kathmandu",Rs. 4.35Cr,8.0 aana,,2,3,2.5,2 Cars & 2 Bikes,14 Feet 
617,Bungalow House for Sale,"Chundevi, Kathmandu",Price on call,7.0 aana,,4,4,2.5,2 Cars ,18 Feet 
618,House for Sale,"Imadol, Lalitpur",Rs. 3.95Cr,4.1 aana,,5,5,3.5,2 Cars & 5 Bikes,13 Feet 
619,Bungalow House for Sale,"Tikathali, Lalitpur",Rs. 3.6Cr,4.2 aana,2400 Sq. Ft.,7,5,2.5,2 Cars & 5 Bikes,16 Feet 
620,House for Sale,"Nakhipot, Lalitpur",Rs. 5.6Cr,7.2 aana,3500 Sq. Ft.,6,5,3.5,6 Cars & 5 Bikes,14 Feet 
621,House for Sale,"Nakhipot, Lalitpur",Rs. 2.35Cr,3.0 aana,2298 Sq. Ft.,6,4,2.5,2 Cars & 4 Bikes,13 Feet 
622,4 BHK House for Sale,"Nakhipot, Lalitpur",Rs. 6.5Cr,4.5 aana,4100 Sq. Ft.,4,7,3.5,4 Cars & 5 Bikes,20 Feet 
623,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.3Cr,2.3 aana,2300 Sq. Ft.,4,4,2.5,1 Car & 3 Bikes,13 Feet 
624,House for Sale,"Imadol, Lalitpur",Rs. 2.6Cr,3.0 aana,2300 Sq. Ft.,5,4,2.5,1 Car & 2 Bikes,13 Feet 
625,House for Sale,"Kapan, Kathmandu",Rs. 5.4Cr,6.0 aana,4294 Sq. Ft.,7,7,3.5,2 Cars & 7 Bikes,14 Feet 
626,House for Sale,"Imadol, Lalitpur",Rs. 2.1Cr,4.0 aana,2300 Sq. Ft.,4,3,2.5,2 Cars & 3 Bikes,8 Feet 
627,House for Sale,"Kusunti, Lalitpur",Rs. 2.5Cr,3.5 aana,,3,3,3.5,1 Car & 2 Bikes,20 Feet 
628,4 BHK House for Sale,"Tikathali, Lalitpur",Rs. 3.65Cr,4.0 aana,2499 Sq. Ft.,4,5,2.5,2 Cars & 3 Bikes,12 Feet 
629,House for Sale,"Imadol, Lalitpur",Rs. 3.25Cr,4.0 aana,2600 Sq. Ft.,6,3,2.5,1 Car & 2 Bikes,13 Feet 
630,House for Sale,"Imadol, Lalitpur",Rs. 3.5Cr,3.3 aana,2600 Sq. Ft.,5,4,2.5,1 Car & 3 Bikes,14 Feet 
631,3 BHK House for Sale,"Thaiba, Lalitpur",Rs. 1.95Cr,2.3 aana,2199 Sq. Ft.,3,3,2.5,1 Car & 3 Bikes,20 Feet 
632,4 BHK House for Sale,"Sanagaun, Lalitpur",Rs. 3.9Cr,4.0 aana,,4,4,2.5,1 Car & 2 Bikes,13 Feet 
633,House for Sale,"Nakhipot, Lalitpur",Rs. 6.5Cr,4.2 aana,,4,,3,3 Cars & 5 Bikes,20 Feet 
634,House for Sale,"Sanobharyang, Kathmandu",Rs. 30Cr,60.0 aana,,7,6,2.5,3 Cars & 5 Bikes,8 Meter
635,House for Sale,"Imadol, Lalitpur",Rs. 4.5Cr,4.2 aana,,7,6,2.5,2 Cars & 4 Bikes,13 Feet 
636,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 5Cr,5.0 aana,,4,5,2.5,1 Car & 2 Bikes,16 Feet 
637,House for Sale,"Nakhipot, Lalitpur",Rs. 5.6Cr,7.2 aana,,6,5,3,4 Cars & 5 Bikes,20 Feet 
638,4 BHK House for Sale,"Raniban, Kathmandu",Rs. 12Cr,31.0 aana,,4,5,2.5,,20 Feet 
639,House for Sale,"Godawari, Lalitpur",Rs. 3.9Cr,11.0 aana,,5,4,2.5,1 Car & 3 Bikes,12 Feet 
640,House for Sale,"Budhanilkantha, Kathmandu",Rs. 7.5Cr,8.0 aana,,5,5,2.5,1 Car & 3 Bikes,13 Feet 
641,House for Sale,"Duwakot, Bhaktapur",Price on call,5.0 aana,,4,2,2,1 Car & 2 Bikes,22 Feet 
642,House for Sale,"Mandikhatar, Kathmandu",Rs. 2.1Cr,4.0 aana,,,,2.5,,10 Feet 
643,House for Sale,"Budhanilkantha, Kathmandu",Rs. 6Cr,7.0 aana,,8,12,4,2 Cars & 3 Bikes,13 Feet 
644,House for Sale in land price,"Durbar Marga, Kathmandu",Rs. 1.25Cr/aana,14.0 aana,,5,5,3,5 Cars & 7 Bikes,13 Feet 
645,House for Sale,"Jhaukhel, Bhaktapur",Price on call,7.3 aana,974 Sq. Ft.,10,3,3,5 Bikes,32 Feet 
646,House for Sale,"Imadol, Lalitpur",Rs. 3.95Cr,4.0 aana,,6,6,3,1 Car & 2 Bikes,20 Feet 
647,House for Sale,"Ochu Height, Lalitpur",Rs. 1.9Cr,3.0 aana,,5,3,3,2 Bikes,10 Feet 
648,House for Sale,"Ochu Height, Lalitpur",Rs. 3.65Cr,3.3 aana,,5,4,3,1 Car & 2 Bikes,16 Feet 
649,4 BHK House for Sale,"Tikathali, Lalitpur",Rs. 2.45Cr,3.0 aana,,4,5,2.5,1 Car & 2 Bikes,13 Feet 
650,Modern House for Sale,"Chundevi, Kathmandu",Rs. 6Cr,6.0 aana,,5,5,2.5,2 Cars & 4 Bikes,20 Feet 
651,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.1Cr,3.1 aana,2299 Sq. Ft.,4,3,2.5,1 Car & 2 Bikes,14 Feet 
652,Bungalow House for Sale,"Mahankal, Kathmandu",Rs. 2.9Cr,4.1 aana,,4,3,2.5,1 Car & 3 Bikes,13 Feet 
653,House for Sale,"Budhanilkantha, Kathmandu",Rs. 4Cr,4.0 aana,,10,4,3,,16 Feet 
654,House for Sale,"Sinamangal, Kathmandu",Price on call,6.0 aana,2950 Sq. Ft.,6,4,3,2 Cars & 3 Bikes,11 Feet 
655,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 13Cr,17.0 aana,,4,4,2.5,6 Cars & 5 Bikes,16 Feet 
656,House for Sale,"Thado Dhunga, Lalitpur",Rs. 7.75Cr,9.0 aana,,5,4,2.5,4 Cars & 5 Bikes,20 Feet 
657,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 6.5Cr,6.0 aana,,4,5,2.5,,13 Feet 
658,House for Sale,"Hattigaunda, Kathmandu",Price on call,6.1 aana,,5,6,2.5,2 Cars & 2 Bikes,20 Feet 
659,House for Sale,"Imadol, Lalitpur",Rs. 1.95Cr,3.0 aana,,5,2,2.5,1 Car & 2 Bikes,16 Feet 
660,House for Sale,"Bhaisepati, Lalitpur",Rs. 4.35Cr,4.0 aana,,5,5,2.5,2 Cars & 3 Bikes,10 Feet 
661,House for Sale,"Imadol, Lalitpur",Rs. 3.25Cr,3.3 aana,,6,4,2.5,2 Cars & 2 Bikes,13 Feet 
662,House for Sale,"Imadol, Lalitpur",Rs. 2.85Cr,3.1 aana,,5,4,3,1 Car & 2 Bikes,13 Feet 
663,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 3.95Cr,4.0 aana,,4,,3.5,2 Bikes,13 Feet 
664,House for Sale,"Golfutar, Kathmandu",Rs. 4.25Cr,4.2 aana,4096 Sq. Ft.,9,5,3.5,3 Cars & 5 Bikes,16 Feet 
665,House for Sale,"Imadol, Lalitpur",Rs. 2.85Cr,4.0 aana,,5,4,2.5,1 Car & 2 Bikes,13 Feet 
666,House for Sale,"Imadol, Lalitpur",Rs. 2.25Cr,2.1 aana,,5,5,3,2 Bikes,13 Feet 
667,4 BHK House for Sale,"Hattiban, Lalitpur",Rs. 2.75Cr,2.2 aana,,4,5,2.5,1 Car & 1 Bike,13 Feet 
668,House for Sale,"Tikathali, Lalitpur",Rs. 3.65Cr,4.1 aana,,4,,2.5,1 Car & 2 Bikes,13 Feet 
669,House for Sale,"Harisiddhi, Lalitpur",Rs. 5.45Cr,6.0 aana,,6,,2.5,2 Cars & 3 Bikes,13 Feet 
670,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 5.9Cr,6.1 aana,,4,,3,1 Car & 2 Bikes,13 Feet 
671,House for Sale,"Dhumbarahi, Kathmandu",Rs. 1.55Cr,2.0 aana,600 Sq. Ft.,2,2,2,1 Car & 1 Bike,13 Feet 
672,3 BHK House for Sale,"Imadol, Lalitpur",Rs. 3.05Cr,3.0 aana,,3,,2.5,1 Car & 2 Bikes,13 Feet 
673,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 5Cr,5.0 aana,3200 Sq. Ft.,4,4,3,1 Car & 2 Bikes,16 Feet 
674,House for Sale,"Imadol, Lalitpur",Rs. 4.25Cr,4.2 aana,,4,3,2.5,1 Car & 2 Bikes,20 Feet 
675,House for Sale,"Harisiddhi, Lalitpur",Rs. 3.95Cr,5.2 aana,,4,,2.5,1 Car & 2 Bikes,13 Feet 
676,4 BHK House for Sale,"Sinamangal, Kathmandu",Rs. 6.8Cr,5.1 aana,,4,,2.5,1 Car & 2 Bikes,13 Feet 
677,House for Sale,"Hattigaunda, Kathmandu",Price on call,5.0 aana,,5,6,2.5,1 Car & 2 Bikes,14 Feet 
678,House for Sale,"Ramkot, Kathmandu",Rs. 3Cr,3.3 aana,,3,4,2.5,1 Car & 2 Bikes,13 Feet 
679,House for Sale,"Kapan, Kathmandu",Rs. 3.38Cr,4.0 aana,,6,4,2.5,1 Car & 3 Bikes,13 Feet 
680,House for Sale,"Sunakothi, Lalitpur",Rs. 3.3Cr,4.0 aana,,6,6,3,1 Car & 2 Bikes,20 Feet 
681,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8Cr,5.0 aana,,4,4,2.5,4 Cars & 5 Bikes,10 Feet 
682,House for Sale,"Manjushree Marga, Lalitpur",Rs. 5Cr,4.2 aana,,5,4,2.5,1 Car & 2 Bikes,13 Feet 
683,Villa House for Sale,"Thaiba, Lalitpur",Rs. 28Cr,80.0 aana,,5,5,2.5,,8 Meter
684,House for Sale,"Bhaisepati, Lalitpur",Rs. 5.65Cr,5.0 aana,,7,,2.5,2 Cars & 4 Bikes,20 Feet 
685,House for Sale,"Lamatar, Lalitpur",Rs. 2.8Cr,4.2 aana,,,5,2.5,2 Cars & 4 Bikes,16 Feet 
686,House for Sale,"Bhaisepati, Lalitpur",Rs. 2.7Cr,4.0 aana,,5,5,2.5,1 Car & 2 Bikes,20 Feet 
687,House for Sale,"Kapan, Kathmandu",Price on call,6.0 aana,2400 Sq. Ft.,5,3,2.5,3 Cars & 5 Bikes,13 Feet 
688,House for Sale,"Ekatabasti, Kathmandu",Price on call,4.0 aana,,,,3,2 Cars & 5 Bikes,13 Feet 
689,4 BHK House for Sale,"Sundarbasti, Kathmandu",Rs. 2.95Cr,3.0 aana,,,,2.5,2 Bikes,13 Feet 
690,House for Sale,"Kapan, Kathmandu",Rs. 1.58Cr,3.0 aana,,,,1,1 Bike,13 Feet 
691,House for Sale,"Imadol, Lalitpur",Rs. 2.85Cr,3.1 aana,2400 Sq. Ft.,5,4,3,1 Car & 2 Bikes,13 Feet 
692,House for Sale,"Imadol, Lalitpur",Rs. 3.15Cr,3.1 aana,2300 Sq. Ft.,5,4,2.5,1 Car & 3 Bikes,13 Feet 
693,House for Sale,"Bhangal , Kathmandu",Price on call,4.2 aana,,6,4,2.5,2 Cars & 4 Bikes,13 Feet 
694,House for Sale,"Imadol, Lalitpur",Rs. 3.05Cr,3.3 aana,2400 Sq. Ft.,6,5,2.5,1 Car & 2 Bikes,
695,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 3.05Cr,3.0 aana,2350 Sq. Ft.,4,5,3,1 Car & 3 Bikes,12 Feet 
696,House for Sale,"Imadol, Lalitpur",Rs. 2.95Cr,3.0 aana,2499 Sq. Ft.,5,5,3,1 Car & 3 Bikes,13 Feet 
697,House for Sale,"Mandikhatar, Kathmandu",Rs. 5.5Cr,6.2 aana,,6,4,2.5,3 Cars & 4 Bikes,13 Feet 
698,House for Sale,"Katunje, Bhaktapur",Rs. 3.28Cr,4.1 aana,2740 Sq. Ft.,5,4,2.5,,13 Feet 
699,House for Sale,"Nakhipot, Lalitpur",Rs. 4.2Cr,4.3 aana,2200 Sq. Ft.,7,5,2.5,1 Car & 3 Bikes,14 Feet 
700,House for Sale,"Kupandole, Lalitpur",Price on call,,5000 Sq. Ft.,10,10,4.5,9 Cars & 9 Bikes,20 Feet 
701,4 BHK House for Sale,"Bishalnagar, Kathmandu",Rs. 13Cr,10.0 aana,,4,4,2.5,4 Cars & 7 Bikes,14 Feet 
702,2 BHK House for Sale,"Naya Naikap, Kathmandu",Price on call,3.2 aana,1000 Sq. Ft.,,3,2.5,1 Car & 3 Bikes,11 Feet 
703,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.9Cr,12.0 aana,,6,4,2.5,4 Cars & 3 Bikes,16 Feet 
704,House for Sale,"Chappal karkhana, Kathmandu",Price on call,19.0 aana,,5,5,2.5,4 Cars & 7 Bikes,20 Feet 
705,House for Sale,"Imadol, Lalitpur",Rs. 1.9Cr,2.3 aana,,5,,3.5,1 Car & 2 Bikes,13 Feet 
706,House for Sale,"Imadol, Lalitpur",Rs. 3.05Cr,3.0 aana,,,,3.5,2 Cars & 3 Bikes,13 Feet 
707,House for Sale,"Maharajgunj, Kathmandu",Rs. 3.5Cr,5.0 aana,,6,5,2.5,2 Bikes,27 Feet 
708,House for Sale,"Narayantar, Kathmandu",Rs. 3.5Cr,3.2 aana,,12,,3.5,1 Car & 3 Bikes,35 Feet 
709,House for Sale,"Mandikhatar, Kathmandu",Rs. 3.5Cr,4.0 aana,,,,2.5,2 Bikes,13 Feet 
710,House for Sale,"Mandikhatar, Kathmandu",Rs. 3.85Cr,4.1 aana,,,,3.5,1 Car & 2 Bikes,13 Feet 
711,2 BHK House for Sale,"Bagdol, Lalitpur",Rs. 4.4Cr,,,2,2,1,3 Cars & 2 Bikes,
712,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 4.9Cr,5.1 aana,,4,,2.5,1 Car ,20 Feet 
713,4 BHK House for Sale,"Ochu Height, Lalitpur",Rs. 2.45Cr,3.1 aana,,4,,2.5,1 Car ,13 Feet 
714,House for Sale,"Nakhipot, Lalitpur",Rs. 4.25Cr,4.2 aana,,6,,2.5,2 Cars ,14 Feet 
715,House for Sale,"Goldhunga, Kathmandu",Price on call,3.1 aana,,9,3,1.5,1 Car & 2 Bikes,26 Feet 
716,House for Sale at Gyaneshwor,"Gyaneshwor, Kathmandu",Rs. 5.7Cr,6.0 aana,2809 Sq. Ft.,6,4,3.5,4 Cars & 5 Bikes,14 Feet 
717,House for Sale,"Deuwa chowk, Kathmandu",Rs. 4.5Cr,5.3 aana,,,,2.5,,12 Feet 
718,Bungalow House for Sale,"Budhanilkantha, Kathmandu",Rs. 8.5Cr,12.0 aana,,,,2.5,,20 Feet 
719,House for Sale,"Sano thimi, Bhaktapur",Price on call,3.2 aana,2400 Sq. Ft.,6,3,,1 Car & 4 Bikes,15 Feet 
720,House for Sale,"Ramkot, Kathmandu",Rs. 3Cr,4.1 aana,,3,4,2.5,1 Car & 2 Bikes,12 Feet 
721,Bungalow House for Sale,"Golfutar, Kathmandu",Rs. 6.35Cr,6.1 aana,2400 Sq. Ft.,5,3,2.5,2 Cars ,13 Feet 
722,House for Sale,"Shantinagar, Kathmandu",Price on call,3.0 aana,2299 Sq. Ft.,5,5,3.5,1 Car & 3 Bikes,12 Feet 
723,House for sale in Kaski,Kaski,Price on call,5.0 aana,1500 Sq. Ft.,5,3,3,2 Cars & 8 Bikes,8 Meter
724,House for Sale,"Imadol, Lalitpur",Rs. 4.9Cr,5.1 aana,3000 Sq. Ft.,5,5,2.5,1 Car & 2 Bikes,20 Feet 
