,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
48,Bungalow House for Sale,"Sukedhara, Kathmandu",Rs. 11.5Cr,,,5,4,2,3 Cars & 5 Bikes,14 Feet 
49,House for Sale,"Sitapakha, Lalitpur",Rs. 2.4Cr,,2800 Sq. Ft.,8,4,3.5,1 Car & 3 Bikes,13 Feet 
50,House for Sale At Rudreshwor,"Rudreshwor, Kathmandu",Rs. 3.75Cr,,,4,4,2,,13 Feet 
51,House for Sale at Hattiban,"Hattiban, Lalitpur",Rs. 3.5Cr,,2200 Sq. Ft.,5,4,2.5,1 Car & 4 Bikes,12 Feet 
52,Bungalow House for Sale,"Ganesh Chowk, Kathmandu",Rs. 12Cr,,,6,6,2,,20 Feet 
53,House for Sale,"Hepali Height, Kathmandu",Price on call,,,5,5,2,,20 Feet 
54,House for Sale,"Dhumbarahi, Kathmandu",Price on call,,2500 Sq. Ft.,7,2,2.5,1 Car & 2 Bikes,20 Feet 
55,Bungalow House for Sale,"Rudreshwor, Kathmandu",Rs. 5.1Cr,,2500 Sq. Ft.,6,2,2.5,1 Car & 2 Bikes,20 Feet 
56,Bungalow House for Sale,"Naxal, Kathmandu",Rs. 8Cr,,,5,4,2.5,,14 Feet 
57,House for Sale At Pasikot,"Pasikot, Kathmandu",Rs. 7.85Cr,,,6,5,2.5,3 Cars & 6 Bikes,16 Feet 
58,House for Sale at Rudreshwor,"Rudreshwor, Kathmandu",Rs. 2.7Cr,,,5,3,2,,8 Feet 
59,House for Sale at Tangal,"Tangal, Kathmandu",Rs. 15.3Cr,,,5,5,2.5,5 Cars & 7 Bikes,18 Feet 
60,Bungalow for Sale,"Maharajgunj, Kathmandu",Rs. 4.8Cr,,,5,4,2,,13 Feet 
61,House for Sale At Bhangal,"Bhangal , Kathmandu",Rs. 3.65Cr,,,6,5,2.5,,15 Feet 
62,House for Sale,"Narayanthan , Kathmandu",Rs. 3.85Cr,,,6,5,2,1 Car & 4 Bikes,18 Feet 
63,House for Sale,"Grande Hospital, Kathmandu",Rs. 3.75Cr,,1200 Sq. Ft.,7,5,3,1 Car & 3 Bikes,20 Feet 
64,2 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.3Cr,,1026.75 Sq. Ft.,4,4,2.5,1 Car & 2 Bikes,20 Feet 
65,House for Sale,"Bhangal , Kathmandu",Rs. 4Cr,,1500 Sq. Ft.,5,4,2.5,2 Cars ,16 Feet 
66,House for Sale,"Lazimpat, Kathmandu",Rs. 5.5Cr,,,,,2.5,,13 Feet 
